cluster,grid_id,low_afternoon,medium_afternoon,high_afternoon,high,low,medium,p,segregation_afternoon,h,x
2,15137,0.18885748903355154,0.29127564698498654,0.519866863981462,0.2,0.3,0.5,"[0.2, 0.3, 0.5]",0.19999999999999998,segregation_afternoon,0.19999999999999998
2,15138,0.16890020165367106,0.3110748596166736,0.5200249387296554,0.2,0.3,0.5,"[0.2, 0.3, 0.5]",0.19999999999999998,segregation_afternoon,0.19999999999999998
2,15139,0.11888205197175068,0.27669031325610116,0.6044276347721482,0.1,0.3,0.6,"[0.1, 0.3, 0.6]",0.3333333333333333,segregation_afternoon,0.3333333333333333
2,15140,0.12951938697545606,0.26494022870970796,0.605540384314836,0.1,0.3,0.6,"[0.1, 0.3, 0.6]",0.3333333333333333,segregation_afternoon,0.3333333333333333
2,15141,0.15032184413481736,0.33523889544867397,0.5144392604165088,0.2,0.3,0.5,"[0.2, 0.3, 0.5]",0.19999999999999998,segregation_afternoon,0.19999999999999998
1,15142,0.21626073971681137,0.416424604078519,0.36731465620466963,0.2,0.4,0.4,"[0.2, 0.4, 0.4]",0.13333333333333333,segregation_afternoon,0.13333333333333333
1,15143,0.37233900386065516,0.41237734739921983,0.21528364874012504,0.4,0.4,0.2,"[0.4, 0.4, 0.2]",0.13333333333333333,segregation_afternoon,0.13333333333333333
1,15144,0.4631577683778655,0.33060844484457946,0.20623378677755508,0.5,0.3,0.2,"[0.5, 0.3, 0.2]",0.19999999999999998,segregation_afternoon,0.19999999999999998
1,15145,0.5946354055781967,0.2739906826741991,0.13137391174760413,0.6,0.3,0.1,"[0.6, 0.3, 0.1]",0.3333333333333333,segregation_afternoon,0.3333333333333333
0,15146,0.5861692798337584,0.3086158284216879,0.1052148917445536,0.6,0.3,0.1,"[0.6, 0.3, 0.1]",0.3333333333333333,segregation_afternoon,0.3333333333333333
0,15298,0.7248445938636837,0.2231552942776516,0.052000111858664794,0.7,0.2,0.1,"[0.7, 0.2, 0.1]",0.39999999999999997,segregation_afternoon,0.39999999999999997
0,15299,0.7151810475239214,0.19455453998387248,0.09026441249220615,0.7,0.2,0.1,"[0.7, 0.2, 0.1]",0.39999999999999997,segregation_afternoon,0.39999999999999997
0,15300,0.7194103441225973,0.2498196636568977,0.030769992220505048,0.7,0.2,0.0,"[0.7, 0.2, 0.0]",0.5185185185185185,segregation_afternoon,0.5185185185185185
0,15302,0.5638725611954702,0.3112939665606649,0.12483347224386479,0.6,0.3,0.1,"[0.6, 0.3, 0.1]",0.3333333333333333,segregation_afternoon,0.3333333333333333
1,15303,0.5418253891374016,0.2886028619222418,0.1695717489403566,0.5,0.3,0.2,"[0.5, 0.3, 0.2]",0.19999999999999998,segregation_afternoon,0.19999999999999998
1,15304,0.2573632227135371,0.2928866183387896,0.44975015894767334,0.3,0.3,0.4,"[0.3, 0.3, 0.4]",0.0666666666666667,segregation_afternoon,0.0666666666666667
1,15306,0.22263047339494368,0.37609781286451666,0.40127171374053966,0.2,0.4,0.4,"[0.2, 0.4, 0.4]",0.13333333333333333,segregation_afternoon,0.13333333333333333
1,15309,0.14784873059648537,0.30558176961058414,0.5465694997929305,0.1,0.3,0.5,"[0.1, 0.3, 0.5]",0.29629629629629634,segregation_afternoon,0.29629629629629634
2,15310,0.10383023181933093,0.2962597987300671,0.599909969450602,0.1,0.3,0.6,"[0.1, 0.3, 0.6]",0.3333333333333333,segregation_afternoon,0.3333333333333333
2,15311,0.12387651023036794,0.2610585165473455,0.6150649732222865,0.1,0.3,0.6,"[0.1, 0.3, 0.6]",0.3333333333333333,segregation_afternoon,0.3333333333333333
0,15312,0.17745658189156213,0.4047836849966141,0.41775973311182385,0.2,0.4,0.4,"[0.2, 0.4, 0.4]",0.13333333333333333,segregation_afternoon,0.13333333333333333
2,15313,0.17234204044036452,0.3606283002081218,0.4670296593515136,0.2,0.4,0.5,"[0.2, 0.4, 0.5]",0.1818181818181818,segregation_afternoon,0.1818181818181818
1,15314,0.26231327492320067,0.4595642781607846,0.2781224469160147,0.3,0.5,0.3,"[0.3, 0.5, 0.3]",0.12121212121212122,segregation_afternoon,0.12121212121212122
0,15315,0.4478512391661599,0.416315437463762,0.13583332337007817,0.4,0.4,0.1,"[0.4, 0.4, 0.1]",0.22222222222222227,segregation_afternoon,0.22222222222222227
0,15316,0.3979535551583431,0.3459897569889655,0.2560566878526914,0.4,0.3,0.3,"[0.4, 0.3, 0.3]",0.0666666666666667,segregation_afternoon,0.0666666666666667
1,15317,0.46849403517475025,0.23816318696498257,0.2933427778602673,0.5,0.2,0.3,"[0.5, 0.2, 0.3]",0.19999999999999998,segregation_afternoon,0.19999999999999998
0,15468,0.5469456314014619,0.30632689703579,0.14672747156274812,0.5,0.3,0.1,"[0.5, 0.3, 0.1]",0.29629629629629634,segregation_afternoon,0.29629629629629634
0,15474,0.4002218122716598,0.33357580885054816,0.26620237887779213,0.4,0.3,0.3,"[0.4, 0.3, 0.3]",0.0666666666666667,segregation_afternoon,0.0666666666666667
