cluster,time_of_day,grid_id,reason,high,low,medium
0,night,13590,1,0.0,0.4251804463892885,0.5748195536107115
0,morning,13590,2,0.5606067634493057,0.3139010071065239,0.1254922294441703
0,morning,13590,1,0.0,0.7306140963870192,0.2693859036129807
0,afternoon,13590,2,0.2618998722205778,0.540653447591381,0.1974466801880411
0,afternoon,13590,1,0.0,0.8798480725821974,0.1201519274178025
0,night,13598,2,0.2415437186923728,0.5393357740844837,0.2191205072231433
0,night,13598,1,0.6468615005625269,0.2000446566700812,0.1530938427673918
0,night,13598,0,0.0,1.0,0.0
0,morning,13598,2,0.2298875567991215,0.5278226564755841,0.2422897867252943
0,morning,13598,1,0.1440768658239461,0.4849449084491758,0.370978225726878
0,morning,13598,0,0.0,1.0,0.0
0,afternoon,13598,2,0.240402278762497,0.5876524460424721,0.1719452751950309
0,afternoon,13598,1,0.7310533116536377,0.1511812792133131,0.117765409133049
0,afternoon,13598,0,0.0,1.0,0.0
1,night,13599,2,0.1513729355391477,0.6052236957673828,0.2434033686934694
1,night,13599,1,0.425778417336162,0.4614976054302483,0.1127239772335896
1,night,13599,0,0.0,0.8561534081343619,0.143846591865638
1,morning,13599,2,0.1984480406514105,0.5237043418630672,0.2778476174855221
1,morning,13599,1,0.0324791517972236,0.4746600475640319,0.4928608006387444
1,morning,13599,0,0.0,0.8197667133017897,0.1802332866982103
1,afternoon,13599,2,0.2067308355305477,0.5237813302361569,0.2694878342332954
1,afternoon,13599,1,0.5258147579938689,0.2054633191705893,0.2687219228355417
1,afternoon,13599,0,0.0,0.8765558195962693,0.1234441804037306
1,night,13602,2,0.1217118683390066,0.6441164855058353,0.2341716461551581
1,night,13602,1,0.5200518553581701,0.2198262245740993,0.2601219200677306
1,night,13602,0,0.0,0.8009266654672014,0.1990733345327986
1,morning,13602,2,0.0780549350601089,0.6596855126870514,0.2622595522528396
1,morning,13602,1,0.352284162951154,0.313884056333289,0.333831780715557
1,morning,13602,0,0.0,0.7593844984220146,0.2406155015779854
1,afternoon,13602,2,0.1609703317395702,0.6314619005479687,0.207567767712461
1,afternoon,13602,1,0.4686003707582127,0.3584661098609057,0.1729335193808815
1,afternoon,13602,0,0.0,0.8058752577954332,0.1941247422045667
0,night,13608,2,0.1843349322342195,0.5681498051732115,0.2475152625925691
0,night,13608,1,0.0225724166449285,0.4695243463370707,0.5079032370180007
0,night,13608,0,0.0,1.0,0.0
0,morning,13608,2,0.2236788426223586,0.4685681360929377,0.3077530212847036
0,morning,13608,1,0.2579239858602053,0.3494145793234707,0.3926614348163239
0,morning,13608,0,0.0,1.0,0.0
